ranking,title,location,continent
359,"City, University of London",United Kingdom,Europe
360,University of Crete,Greece,Europe
361,Drexel University,United States,America
362,East China Normal University,China,Asia
363,University of Fribourg,Switzerland,Europe
364,Grenoble Alpes University,France,Europe
365,Hanyang University,South Korea,Asia
366,Hasselt University,Belgium,Europe
367,Heriot-Watt University,United Kingdom,Europe
368,Hong Kong Baptist University,Hong Kong,Asia
369,IMT Atlantique,France,Europe
370,Indian Institute of Technology Ropar,India,Asia
371,University of Innsbruck,Austria,Europe
372,University of Kansas,United States,America
373,Khalifa University,United Arab Emirates,Asia
374,University of KwaZulu-Natal,South Africa,Africa
375,Lappeenranta-Lahti University of Technology LUT,Finland,Europe
376,University of Liège,Belgium,Europe
377,Loughborough University,United Kingdom,Europe
378,University of Manitoba,Canada,America
379,University of Milan,Italy,Europe
380,University of Milan-Bicocca,Italy,Europe
381,Nagoya University,Japan,Asia
382,Nankai University,China,Asia
383,National Tsing Hua University,Taiwan,Asia
384,Northumbria University,United Kingdom,Europe
385,NOVA University of Lisbon,Portugal,Europe
386,"University of Occupational and Environmental Health, Japan",Japan,Asia
387,Örebro University,Sweden,Europe
388,Osaka University,Japan,Asia
389,Polytechnic University of Milan,Italy,Europe
390,University of Stuttgart,Germany,Europe
391,Swedish University of Agricultural Sciences,Sweden,Europe
392,Swinburne University of Technology,Australia,Oceania
393,University of Tasmania,Australia,Oceania
394,University of Turku,Finland,Europe
395,UiT The Arctic University of Norway,Norway,Europe
396,Umeå University,Sweden,Europe
397,Université de Versailles Saint-Quentin-en-Yvelines,France,Europe
398,Victoria University,Australia,Oceania
399,University of Victoria,Canada,America
400,Wayne State University,United States,America
401,Aberystwyth University,United Kingdom,Europe
402,University of Alaska Fairbanks,United States,America
403,American University,United States,America
404,Aston University,United Kingdom,Europe
405,Aswan University,Egypt,Africa
406,Bangor University,United Kingdom,Europe
407,University of Bari Aldo Moro,Italy,Europe
408,Bauman Moscow State Technical University,Russian Federation,Asia
409,University of Bordeaux,France,Europe
410,Bournemouth University,United Kingdom,Europe
411,University of Bremen,Germany,Europe
412,University of Brescia,Italy,Europe
413,University of Campinas,Brazil,America
414,Cankaya University,Turkey,Asia
415,University of Canterbury,New Zealand,Oceania
416,Centrale Nantes,France,Europe
417,CEU Universities,Spain,Europe
418,Charles University in Prague,Czech Republic,Europe
419,"China Medical University, Taiwan",Taiwan,Asia
420,Clark University,United States,America
421,Colorado School of Mines,United States,America
422,"Colorado State University, Fort Collins",United States,America
423,University of Connecticut,United States,America
424,University of Denver,United States,America
425,University of Desarrollo,Chile,America
426,Diego Portales University,Chile,America
427,Durban University of Technology,South Africa,Africa
428,University of Eastern Finland,Finland,Europe
429,Edith Cowan University,Australia,Oceania
430,Federal University of Toulouse Midi-Pyrénées,France,Europe
431,University of Florence,Italy,Europe
432,Florida International University,United States,America
433,Free University of Bozen-Bolzano,Italy,Europe
434,University of Genoa,Italy,Europe
435,University of Georgia,United States,America
436,Georgia State University,United States,America
437,"Goldsmiths, University of London",United Kingdom,Europe
438,Harbin Institute of Technology,China,Asia
439,Hunan University,China,Asia
440,University of Ibadan,Nigeria,Africa
441,University of Iceland,Iceland,Europe
442,Indian Institute of Technology Indore,India,Asia
443,Iowa State University,United States,America
444,Jordan University of Science and Technology,Jordan,Asia
445,Justus Liebig University Giessen,Germany,Europe
446,University of Jyväskylä,Finland,Europe
447,University of Kentucky,United States,America
448,King Saud University,Saudi Arabia,Asia
449,Koç University,Turkey,Asia
450,Kyushu University,Japan,Asia
451,Linköping University,Sweden,Europe
452,L’institut Agro,France,Europe
